timestamp,symbol,action,quantity,price,commission,cash,total_value
2024-02-06,688576.SH,BUY,1300,72.92,28.438799999999997,5175.5611999999965,99971.5612
2024-03-05,688576.SH,SELL,1300,78.8,30.731999999999996,107584.8292,107584.8292
2024-03-20,688576.SH,BUY,1200,81.03,29.170799999999996,10319.658399999986,107555.65839999999
2024-04-12,688576.SH,SELL,1200,69.79,25.1244,94042.534,94042.534
2024-04-17,688576.SH,BUY,1300,68.68,26.785200000000003,4731.748799999987,94015.7488
2024-04-25,688576.SH,SELL,1300,67.38,26.2782,92299.47059999999,92299.47059999999
2024-05-08,688576.SH,BUY,1200,70.18,25.2648,8058.205799999967,92274.20579999998
2024-05-14,688576.SH,SELL,1200,67.81,24.411599999999996,89405.79419999996,89405.79419999996
2024-05-27,688576.SH,BUY,1300,64.88,25.303199999999997,5036.490999999965,89380.49099999997
2024-06-24,688576.SH,SELL,1300,54.8,21.372,76255.11899999996,76255.11899999996
2024-06-26,688576.SH,BUY,1200,55.93,20.1348,9118.984199999963,76234.98419999996
2024-07-15,688576.SH,SELL,1200,60.1,21.636,81217.34819999996,81217.34819999996
2024-08-06,688576.SH,BUY,1300,56.61,22.0779,7602.27029999996,81195.27029999996
2024-09-09,688576.SH,SELL,1300,49.44,19.281599999999997,71854.98869999996,71854.98869999996
2024-09-18,688576.SH,BUY,1300,51.57,20.112299999999998,4793.876399999965,71834.87639999996
2024-09-20,688576.SH,SELL,1300,52.55,20.4945,73088.38189999996,73088.38189999996
2024-10-22,688576.SH,BUY,1000,67.54,20.261999999999997,5528.1198999999615,73068.11989999996
2024-10-30,688576.SH,SELL,1000,60.2,18.06,65710.05989999996,65710.05989999996
2024-11-13,688576.SH,BUY,900,66.09,17.844299999999997,6211.215599999967,65692.21559999997
2024-11-26,688576.SH,SELL,900,62.04,16.750799999999998,62030.464799999965,62030.464799999965
2024-12-06,688576.SH,BUY,900,64.47,17.406899999999997,3990.0578999999634,62013.05789999996
2024-12-13,688576.SH,SELL,900,64.77,17.4879,62265.56999999996,62265.56999999996
2024-12-26,688576.SH,BUY,900,61.81,16.688699999999997,6619.8812999999645,62248.881299999965
