timestamp,symbol,action,quantity,price,commission,cash,total_value
2025-03-26,688576.SH,BUY,1400,66.53,27.9426,6830.057400000005,99972.0574
2025-03-31,688576.SH,SELL,1400,64.34,27.022799999999997,96879.0346,96879.0346
2025-04-03,688576.SH,BUY,1300,65.91,25.7049,11170.329700000002,96853.3297
2025-04-07,688576.SH,SELL,1300,59.02,23.017799999999998,87873.3119,87873.3119
2025-04-22,688576.SH,BUY,1200,66.96,24.105599999999992,7497.20630000002,87849.2063
2025-05-06,688576.SH,SELL,1200,61.76,22.2336,81586.97270000001,81586.97270000001
2025-05-29,688576.SH,BUY,1200,62.62,22.5432,6420.429500000013,81564.42950000001
2025-06-04,688576.SH,SELL,1200,62.36,22.449599999999997,81229.9799,81229.9799
2025-06-05,688576.SH,BUY,1200,62.4,22.464,6327.5158999999985,81207.5159
2025-06-17,688576.SH,SELL,1200,61.85,22.266,80525.2499,80525.2499
2025-06-27,688576.SH,BUY,1200,62.99,22.676399999999997,4914.573499999999,80502.5735
2025-08-22,688576.SH,SELL,1200,71.17,25.621199999999998,90292.9523,90292.9523
2025-10-16,688576.SH,BUY,1300,65.86,25.685399999999998,4649.266900000002,90267.2669
2025-10-17,688576.SH,SELL,1300,64.38,25.108199999999997,88318.1587,88318.1587
2025-10-27,688576.SH,BUY,1200,66.02,23.7672,9070.391499999998,88294.3915
2025-11-20,688576.SH,SELL,1200,65.89,23.720399999999998,88114.67109999999,88114.67109999999
2025-12-29,688576.SH,BUY,1300,62.48,24.367199999999997,6866.303899999999,88090.3039
